Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Remote_Work_Ratio_%,Automation_Risk_%,Location,Gender_Diversity_%,Job_Growth_Rate_%
research scientist (life sciences),finance,decreasing,moderate,121278.59,master's degree,0.0,67.12,30.65,canada,30.01,20.339679495959455
tefl teacher,entertainment,increasing,moderate,118944.32,high school,9.0,47.11,74.05,usa,58.02,1405.6
"editor, magazine features",entertainment,increasing,low,95884.27,master's degree,15.0,14.18,47.36,india,34.39,42.168674698795186
"journalist, magazine",entertainment,increasing,low,139808.82,bachelor's degree,8.0,77.63,64.27,china,55.36,-11.636245110821381
"engineer, land",transportation,increasing,low,51687.18,high school,15.0,34.16,79.77,australia,25.64,74.30257510729615
software engineer,retail,increasing,low,142012.17,bachelor's degree,6.0,66.85,31.65,china,45.15,-73.71048252911814
"journalist, magazine",retail,increasing,high,131878.57,associate degree,15.0,35.64,71.15,usa,73.2,85.98484848484848
administrator,finance,increasing,moderate,132462.8,high school,6.0,45.87,21.38,uk,70.35,127.19676549865228
telecommunications researcher,education,increasing,high,65471.32,associate degree,11.0,79.9,32.62,canada,42.03,58.18610129564193
"nurse, adult",manufacturing,decreasing,low,60548.87,phd,16.0,96.89,1.07,germany,32.83,-89.16913946587538
music tutor,it,decreasing,low,135581.97,phd,18.0,33.82,1.08,canada,36.45,-37.92211743230909
optometrist,transportation,decreasing,low,86169.11,associate degree,2.0,20.58,36.35,canada,27.78,11.783154121863799
higher education careers adviser,transportation,increasing,low,50965.92,associate degree,13.0,74.79,79.14,usa,60.39,177.17181467181467
arboriculturist,finance,decreasing,high,42216.24,associate degree,11.0,23.01,77.28,australia,26.12,-51.91187642441124
brewing technologist,finance,increasing,high,53110.22,master's degree,4.0,33.82,33.51,germany,70.27,314.1379310344828
housing manager/officer,education,decreasing,moderate,97658.41,master's degree,13.0,79.93,17.14,brazil,45.47,-79.68593384563982
commercial/residential surveyor,manufacturing,increasing,high,69595.42,bachelor's degree,0.0,57.91,7.37,india,59.29,421.6589861751152
aid worker,manufacturing,decreasing,moderate,97701.02,bachelor's degree,18.0,57.94,92.84,uk,75.5,190.8675799086758
horticultural therapist,retail,decreasing,moderate,111377.76,high school,4.0,61.15,62.25,india,40.13,-66.96952753704221
telecommunications researcher,finance,decreasing,low,50902.05,high school,19.0,16.46,13.33,china,64.03,-29.63855421686747
museum/gallery exhibitions officer,retail,decreasing,low,38639.07,phd,18.0,97.47,77.73,germany,26.19,-62.44522348816828
hospital pharmacist,finance,decreasing,low,146296.29,phd,8.0,32.06,68.07,brazil,57.77,-52.26986849628359
prison officer,it,decreasing,moderate,106225.48,bachelor's degree,15.0,58.16,60.7,india,26.12,-83.90043388901576
technical author,education,increasing,high,79254.23,bachelor's degree,2.0,23.23,82.4,australia,73.23,-47.58031301482702
"designer, exhibition/display",transportation,increasing,low,71483.07,master's degree,16.0,61.28,13.02,australia,77.6,19.259629814907452
dentist,manufacturing,increasing,high,51870.09,bachelor's degree,7.0,8.52,80.97,brazil,20.11,40.72970960536113
animator,manufacturing,decreasing,moderate,116884.45,bachelor's degree,19.0,59.09,31.63,canada,43.64,-75.29988173677987
midwife,it,decreasing,moderate,78231.32,phd,18.0,7.23,50.45,usa,76.78,4193.859649122807
probation officer,manufacturing,decreasing,moderate,117740.13,master's degree,1.0,9.25,75.34,india,26.69,11.29768743555752
"journalist, broadcasting",finance,increasing,low,106322.22,high school,17.0,59.53,37.6,brazil,24.59,7.483458818161077
product/process development scientist,entertainment,increasing,low,134231.8,bachelor's degree,20.0,41.94,94.93,india,44.62,-0.46097770154373924
naval architect,manufacturing,increasing,high,48585.18,phd,20.0,18.32,33.07,india,34.76,115.38461538461537
"investment banker, corporate",entertainment,increasing,moderate,127730.23,master's degree,18.0,8.81,90.74,uk,64.51,-32.254312851327775
surgeon,it,decreasing,low,82656.46,associate degree,8.0,14.97,86.7,usa,66.74,75.32188841201717
retail manager,manufacturing,decreasing,high,35754.67,bachelor's degree,18.0,70.1,34.91,brazil,65.8,-77.41336633663366
"engineer, electrical",manufacturing,increasing,low,146332.83,high school,14.0,19.35,55.05,canada,72.18,-92.84131205673759
banker,manufacturing,increasing,high,46266.86,master's degree,1.0,16.81,2.51,usa,34.68,-18.654250525683388
ecologist,entertainment,increasing,low,148009.61,high school,9.0,6.96,96.19,china,23.48,-93.65182186234819
"psychotherapist, dance movement",manufacturing,decreasing,low,103882.08,associate degree,9.0,34.03,40.38,usa,69.98,-45.74789553205267
production manager,education,decreasing,moderate,144638.45,master's degree,8.0,0.42,4.92,germany,48.86,169.1970802919708
tefl teacher,retail,decreasing,low,117713.37,master's degree,14.0,85.93,81.09,canada,66.37,-79.65676567656766
"producer, radio",manufacturing,increasing,high,43941.24,associate degree,2.0,99.57,59.56,india,79.67,-88.78958402295046
"horticulturist, commercial",entertainment,decreasing,moderate,46887.87,master's degree,8.0,68.47,90.57,australia,65.23,160.72727272727272
chief financial officer,manufacturing,decreasing,low,84654.64,associate degree,5.0,36.5,4.37,china,52.87,-53.156764495347176
"psychologist, educational",entertainment,increasing,high,87749.9,high school,0.0,11.09,95.55,china,34.75,3.907539900935608
"scientist, audiological",transportation,decreasing,moderate,127828.75,bachelor's degree,11.0,13.24,84.95,uk,76.45,253.12180143295802
operations geologist,finance,decreasing,moderate,44792.6,high school,0.0,31.23,11.41,canada,75.42,-44.776119402985074
computer games developer,retail,increasing,moderate,132796.12,master's degree,13.0,10.52,40.63,china,69.67,440.5805038335159
clinical embryologist,entertainment,decreasing,moderate,141125.59,associate degree,18.0,9.01,33.85,uk,25.65,-84.46925754060325
purchasing manager,manufacturing,increasing,high,74865.38,bachelor's degree,15.0,61.31,85.49,australia,39.17,32.9321435982569
food technologist,retail,decreasing,low,50741.16,master's degree,17.0,63.1,67.66,uk,64.59,38.12252093433231
copy,manufacturing,increasing,high,117746.24,master's degree,10.0,7.42,21.98,india,24.48,297.82608695652175
herbalist,it,increasing,moderate,119585.92,bachelor's degree,18.0,62.61,69.45,germany,74.24,-79.6400449943757
travel agency manager,retail,decreasing,high,123093.24,high school,19.0,85.58,90.33,india,61.28,20.343632688420445
