Job Title,Median Salary (USD),Automation Risk (%),Remote Work Ratio (%),Required_Skills,Skills_Count
investment analyst,-1.3951815169676856,-0.7607260791584105,0.2114038958642619,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
"journalist, newspaper",1.225714583672405,1.3756418966261763,-1.1401711371942145,No O*NET skills found,0
financial planner,1.5448125309744103,0.7934703206106469,1.4493982939607353,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
legal secretary,0.21667690371289,1.7314134153023335,-1.655254138298491,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
aeronautical engineer,-0.8474895350879968,-0.4348630165977467,0.1354533192939259,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
legal secretary,-1.4819677707257248,-0.7360342142258524,0.9550290864665496,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
"surveyor, insurance",1.6572995397530126,-1.49800429967987,-0.6672061830971228,No O*NET skills found,0
dentist,-0.7519152156065647,-1.6576319898776763,-1.384248671899793,No O*NET skills found,0
emergency planning/management officer,-0.5123823770885376,1.7181980509722323,-0.3820462910648619,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
visual merchandiser,0.1662335052649662,0.6564478588722249,-1.572398963858125,No O*NET skills found,0
emergency planning/management officer,0.2038175175707037,-0.2161139596600118,1.3689597287748798,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
housing manager/officer,0.7134933634142664,-1.0420742302913637,1.5253488705310712,No O*NET skills found,0
"geologist, wellsite",0.7645048868742341,-1.5515613024913346,-0.5850414684437596,No O*NET skills found,0
"runner, broadcasting/film/video",-1.3675953424698113,-1.28794956138036,0.1989756196982069,Reading Comprehension + Active Listening + Speaking + Critical Thinking + Monitoring,5
press photographer,1.3883224237565428,1.586044407671216,0.349150623371371,Reading Comprehension + Active Listening + Speaking + Critical Thinking + Active Learning,5
"biochemist, clinical",-0.6454575969813621,-1.6332878976906473,1.5212061118090532,No O*NET skills found,0
town planner,0.4997949563902242,0.1737392880779862,-1.194027000580452,No O*NET skills found,0
"engineer, civil (consulting)",0.3255348868391086,0.4877780772906648,-1.2744655657663078,No O*NET skills found,0
audiological scientist,0.5645446435046143,1.0595164709403246,1.1148705271577564,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
"clinical scientist, histocompatibility and immunogenetics",1.5268278144805998,-1.157187009061459,-1.572398963858125,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
music therapist,0.9429807055556448,-0.8121964454967011,1.3233893828326784,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
advertising copywriter,0.9458750918062646,-1.495917663206696,0.5559433295787851,No O*NET skills found,0
commercial horticulturist,-0.8498776943457873,1.5929998625817954,-0.2090861144205972,No O*NET skills found,0
secondary school teacher,-1.174459864270453,0.3462345698603655,-1.0034600993676095,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
"production assistant, radio",-0.877520245443322,-0.0550951784800892,0.1848211940646442,No O*NET skills found,0
armed forces technical officer,-1.1060108260546178,-0.7155156222396419,1.1894401841540865,No O*NET skills found,0
youth worker,0.5799813701745864,-1.0225989565417402,-0.8826296366420754,No O*NET skills found,0
special effects artist,0.3566681374991377,-1.100500051540234,1.2674621400854311,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
ceramics designer,-0.4882485428173058,0.2585958379870601,-0.3012624959855048,No O*NET skills found,0
animal technologist,-0.4988705916358453,-1.678150581863887,0.1520243541819994,Reading Comprehension + Active Listening + Speaking + Critical Thinking + Active Learning,5
firefighter,-1.628446381887358,1.3968560341034448,1.2936996119915471,Reading Comprehension + Active Listening + Speaking + Critical Thinking + Active Learning,5
charity fundraiser,-1.412229045142395,0.4502186207735336,-0.918533545566234,No O*NET skills found,0
housing manager/officer,0.0594466356737038,0.5827200368200788,-1.0939103314650096,No O*NET skills found,0
jewellery designer,-0.8104873060426747,-0.9850395000246094,1.3123420262406291,No O*NET skills found,0
ecologist,0.4650300646685489,-1.573470985459661,-0.2018362866570651,Reading Comprehension + Active Listening + Writing + Speaking + Science,5
operations geologist,1.5236044678649503,0.7134825891389793,-1.423950109652469,No O*NET skills found,0
patent attorney,-0.4009147967202939,-0.999993728082356,-1.2813701636363384,No O*NET skills found,0
media buyer,-0.3038101722192072,-0.3162725103723609,0.9132562693528652,No O*NET skills found,0
town planner,-1.4243738433538304,0.5997609013509996,-0.4721512932687605,No O*NET skills found,0
tour manager,0.9100181214169358,1.507099994436135,-1.6735513226540724,No O*NET skills found,0
higher education careers adviser,1.003852321935646,-0.4943321560832041,0.1389056182289413,No O*NET skills found,0
fitness centre manager,-1.4254566227885503,0.3079795678521765,1.6934758286663147,No O*NET skills found,0
immunologist,1.685362009337711,0.7552153186024583,-0.5650181346206711,No O*NET skills found,0
contracting civil engineer,-1.5004595860154524,0.7670395919504436,-1.1249810218801468,No O*NET skills found,0
surgeon,-1.5785597750113407,1.2994796653553278,0.1834402744906381,No O*NET skills found,0
environmental consultant,-1.035247731843433,-0.0561384967166762,-1.3241786704305276,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
"engineer, electrical",-0.7045457948452932,-0.6407444819509089,-0.6178383083264045,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
"surveyor, commercial/residential",-0.8741664189655709,1.3238237575423573,0.0885020537777184,No O*NET skills found,0
customer service manager,-1.1381251457891544,0.9141474633092066,0.8600908657536299,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
microbiologist,0.6667795385748218,-0.098566771671213,0.9612432245495774,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
secretary/administrator,0.2233772916426627,0.3671009345921049,-0.8708918202630235,No O*NET skills found,0
armed forces operational officer,0.3701720767240422,-1.389846975820354,-0.2605253685523248,No O*NET skills found,0
"therapist, horticultural",-0.2229019054783652,-0.1239541820948292,-1.0452329164812943,No O*NET skills found,0
architect,1.6620374989327422,0.4008348909084169,-1.6932294265836594,No O*NET skills found,0
"engineer, structural",-0.3582423603936375,-0.4668581091864139,0.7617003461056951,No O*NET skills found,0
trade union research officer,-0.235104242693578,1.6719442758168763,0.1858568837451488,No O*NET skills found,0
radio producer,0.4487046800513484,-1.0542462763848783,0.6391437339126529,No O*NET skills found,0
primary school teacher,1.364425138723062,0.0829706014949198,0.8642336244756484,No O*NET skills found,0
site engineer,-1.1475237642748517,-0.6915193027981416,1.2353557599897893,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
tour manager,-0.2789448951575328,-1.4371440692122968,1.0130277085748065,No O*NET skills found,0
electrical engineer,-0.0382168146064937,-1.5553868026921531,0.5638836171293203,Reading Comprehension + Active Listening + Writing + Speaking + Mathematics,5
armed forces logistics/support/administrative officer,0.6929670503192592,-0.0547474057345603,-0.3868795095738833,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
"programmer, systems",1.2127520341648608,-1.4903532992782322,-1.020031134255683,No O*NET skills found,0
archivist,-1.6578124876889515,1.1725426132372463,1.154571964910432,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
tourist information centre manager,-1.2764428082483623,1.3728597146619448,-1.420843040610955,No O*NET skills found,0
occupational therapist,-0.2298466888736773,-1.0194690018319794,-0.0751369157420051,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
general practice doctor,0.1162001448692136,-0.9933860459173052,1.7276535881229658,No O*NET skills found,0
air cabin crew,0.1853704548394701,-0.131257409750938,0.0367175697524894,No O*NET skills found,0
"therapist, art",-0.4561217272385147,0.1073146936819492,-0.0647800189369592,Reading Comprehension + Active Listening + Writing + Speaking + Critical Thinking,5
